2021/12/24 17:25:29.227  # of PCs: 15/# of Routers:10
2021/12/24 17:25:29.231  Time,Protocol,TranID, fromID, toID, minBW(Mbps), reqDuration(ms), reqHops, req_avg_receive_buffersize, req_max_receive_buffersize, req_avg_queue_size, req_max_queue_size, reqSize(byte), resDuraiton(ms), resHop, res_avg_receive_buffersize, res_max_receive_buffersize, res_avg_queue_size, res_max_queue_size, resSize(byte), result(Hit/TTL/Drop)
2021/12/24 17:26:15.577  ,HTTP_POST,p3-1640334354775,p3,r2,100,28022,2,154899.9629,309895,4.9995,10,8388608,1640334382798,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:26:15.812  ,HTTP_GET,p2-1640334345604,p2,r2,10,262,3,61666.8571,210598,3.7143,11,2000,269,3,86099.0341,263470, 2.9415,9, 107520,Hit
2021/12/24 17:26:16.021  ,HTTP_POST,p10-1640334345607,p10,r2,10,30765,3,70794.6543,215748,4.3331,11,12582912,1640334405526,3,64547.75,258191, 2.5,9, 1024,Hit
2021/12/24 17:26:16.128  ,HTTP_POST,p12-1640334344593,p12,r2,100,12146,2,85595.0656,175471,8.9977,9,15728640,1640334377489,2,103314.0,309942, 3.3333,10, 1024,Hit
2021/12/24 17:26:16.726  ,HTTP_POST,p14-1640334337575,p14,r2,10,19689,4,164.7346,1135,2.2499,9,10485760,1640334394767,3,126494.0,312275, 3.25,11, 1024,Hit
2021/12/24 17:26:17.101  ,HTTP_POST,p2-1640334355790,p2,r2,100,27628,2,157432.3666,315149,5.4359,11,7340032,1640334383419,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:26:19.037  ,HTTP_POST,p4-1640334356701,p4,r2,10,38733,2,163508.1733,334603,5.4996,11,10485760,1640334395434,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:26:20.136  ,HTTP_POST,p7-1640334356802,p7,r2,10,35058,2,167460.8992,342797,5.4997,11,13631488,1640334391862,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:26:23.928  ,HTTP_POST,p7-1640334358814,p7,r2,10,34619,2,183402.9791,359808,5.4996,11,11534336,1640334393853,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:26:30.258  ,HTTP_POST,p2-1640334361818,p2,r2,100,42868,2,197734.2385,396779,6.4991,13,16777216,1640334404686,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:26:30.507  ,HTTP_POST,p2-1640334350776,p2,r2,10,14703,3,82118.3452,243683,5.999,13,8388608,1640334404285,3,84554.5,338218, 2.75,11, 1024,Hit
2021/12/24 17:26:31.069  ,HTTP_GET,p4-1640334351686,p4,r2,10,85,3,70163.8571,245573,5.1429,13,2000,86,3,106804.1194,340766, 3.4478,11, 33792,Hit
2021/12/24 17:26:31.362  ,HTTP_GET,p3-1640334351775,p3,r2,10,157,3,70306.5714,246073,5.1429,13,2000,160,3,110329.5161,342041, 3.5484,11, 64512,Hit
2021/12/24 17:26:32.397  ,HTTP_POST,p10-1640334351792,p10,r2,10,27048,3,0.0,0,0.0,0,11534336,1640334419445,3,0.0,0, 1.0,1, 1024,Hit
2021/12/24 17:26:37.413  ,HTTP_POST,p9-1640334354802,p9,r2,10,4929,3,0.0,0,0.0,0,2097152,1640334402342,3,0.0,0, 1.0,1, 1024,Hit
2021/12/24 17:26:47.336  ,HTTP_GET,p2-1640334358809,p2,r2,10,324,3,0.0,0,0.0,0,2000,329,3,0.0,0, 0.0,0, 135168,Hit
2021/12/24 17:26:47.371  ,HTTP_GET,p1-1640334358814,p1,r2,10,237,3,0.0,0,0.0,0,2000,259,3,0.0,0, 0.0,0, 98304,Hit
2021/12/24 17:26:49.208  ,HTTP_GET,p11-1640334369967,p11,r2,10,1640334409312,2,0.0,0,0.0,0,2000,116,2,18.9308,77, 0.4906,1, 125952,Hit
2021/12/24 17:26:49.741  ,HTTP_POST,p6-1640334369918,p6,r2,10,1640334418764,2,0.0,0,0.0,0,10485760,1640334418765,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:26:51.360  ,HTTP_POST,p10-1640334370964,p10,r2,10,61704,2,264580.7063,529272,6.9995,13,13631488,1640334432668,2,0.0,0, 0.3333,1, 1024,Hit
2021/12/24 17:26:54.007  ,HTTP_POST,p3-1640334372905,p3,r2,100,49224,2,270502.7647,544801,6.4994,13,9437184,1640334422129,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:26:54.558  ,HTTP_POST,p8-1640334360809,p8,r2,10,20660,3,0.0,0,0.0,0,12582912,1640334435218,3,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:26:59.762  ,HTTP_POST,p10-1640334374975,p10,r2,10,1640334439432,2,0.0,0,0.0,0,12582912,1640334439432,2,0.0,0, 0.3333,1, 1024,Hit
2021/12/24 17:27:02.283  ,HTTP_POST,p11-1640334375975,p11,r2,10,1640334441952,2,0.0,0,0.0,0,12582912,1640334441952,2,0.0,0, 0.3333,1, 1024,Hit
2021/12/24 17:27:02.995  ,HTTP_POST,p2-1640334362823,p2,r2,10,16449,3,103215.7628,306169,7.6662,13,9437184,1640334438493,3,124691.25,498765, 2.75,11, 1024,Hit
2021/12/24 17:27:03.401  ,HTTP_POST,p8-1640334375968,p8,r2,10,1640334436931,2,0.0,0,0.0,0,15728640,1640334436931,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:27:06.308  ,HTTP_GET,p2-1640334364872,p2,r2,10,485,3,89877.4286,312324,6.5714,13,2000,326,3,172678.06,526498, 3.28,10, 132096,Hit
2021/12/24 17:27:07.188  ,HTTP_GET,p5-1640334378972,p5,r2,100,1640334427205,2,0.0,0,0.0,0,2000,27,2,15.8889,65, 0.0,0, 106496,Hit
2021/12/24 17:27:07.762  ,HTTP_POST,p4-1640334378975,p4,r2,10,1640334435966,2,0.0,0,0.0,0,5242880,1640334435967,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:27:12.245  ,HTTP_POST,p11-1640334364961,p11,r2,10,15527,3,114857.5092,330037,8.6659,14,6291456,1640334447004,3,140911.5,563646, 3.0,11, 1024,Hit
2021/12/24 17:27:23.380  ,HTTP_GET,p10-1640334388085,p10,r2,10,55400,2,297979.0,744948,6.0,14,2000,114,2,18.4717,76, 0.4906,1, 124928,Hit
2021/12/24 17:27:27.298  ,HTTP_POST,p11-1640334368964,p11,r2,10,19597,3,123432.926,365851,8.9956,14,7340032,1640334464514,3,165718.25,662873, 3.0,11, 1024,Hit
2021/12/24 17:27:28.434  ,HTTP_POST,p9-1640334389031,p9,r2,10,1640334463188,2,0.0,0,0.0,0,9437184,1640334463188,2,0.0,0, 0.3333,1, 1024,Hit
2021/12/24 17:27:28.473  ,HTTP_GET,p10-1640334389093,p10,r2,10,1640334448538,2,0.0,0,0.0,0,2000,141,2,17.3878,71, 0.4898,1, 115712,Hit
2021/12/24 17:27:29.035  ,HTTP_GET,p3-1640334389128,p3,r2,100,59082,2,318995.6,785566,5.6,14,2000,27,2,15.3893,63, 0.0,0, 103424,Hit
2021/12/24 17:27:31.220  ,HTTP_POST,p2-1640334389093,p2,r2,100,72943,2,405665.1802,806633,6.9988,14,13631488,1640334462944,2,0.0,0, 0.0,0, 1024,Hit
2021/12/24 17:27:34.067  ,HTTP_GET,p11-1640334370969,p11,r2,10,841,3,2294.0,8029,4.0,14,2000,310,3,238364.5798,727357, 4.2605,12, 125952,Hit
